ProfileID,ExperienceLvl,OffensiveLvl,DefensiveLvl,EfficiencyLvl
1,Good,Good,Good,Good
2,Good,Good,Good,Average
3,Good,Good,Good,Bad
4,Good,Good,Average,Good
5,Good,Good,Average,Average
6,Good,Good,Average,Bad
7,Good,Good,Bad,Good
8,Good,Good,Bad,Average
9,Good,Good,Bad,Bad
10,Good,Average,Good,Good
11,Good,Average,Good,Average
12,Good,Average,Good,Bad
13,Good,Average,Average,Good
14,Good,Average,Average,Average
15,Good,Average,Average,Bad
16,Good,Average,Bad,Good
17,Good,Average,Bad,Average
18,Good,Average,Bad,Bad
19,Good,Bad,Good,Good
20,Good,Bad,Good,Average
21,Good,Bad,Good,Bad
22,Good,Bad,Average,Good
23,Good,Bad,Average,Average
24,Good,Bad,Average,Bad
25,Good,Bad,Bad,Good
26,Good,Bad,Bad,Average
27,Good,Bad,Bad,Bad
28,Average,Good,Good,Good
29,Average,Good,Good,Average
30,Average,Good,Good,Bad
31,Average,Good,Average,Good
32,Average,Good,Average,Average
33,Average,Good,Average,Bad
34,Average,Good,Bad,Good
35,Average,Good,Bad,Average
36,Average,Good,Bad,Bad
37,Average,Average,Good,Good
38,Average,Average,Good,Average
39,Average,Average,Good,Bad
40,Average,Average,Average,Good
41,Average,Average,Average,Average
42,Average,Average,Average,Bad
43,Average,Average,Bad,Good
44,Average,Average,Bad,Average
45,Average,Average,Bad,Bad
46,Average,Bad,Good,Good
47,Average,Bad,Good,Average
48,Average,Bad,Good,Bad
49,Average,Bad,Average,Good
50,Average,Bad,Average,Average
51,Average,Bad,Average,Bad
52,Average,Bad,Bad,Good
53,Average,Bad,Bad,Average
54,Average,Bad,Bad,Bad
55,Bad,Good,Good,Good
56,Bad,Good,Good,Average
57,Bad,Good,Good,Bad
58,Bad,Good,Average,Good
59,Bad,Good,Average,Average
60,Bad,Good,Average,Bad
61,Bad,Good,Bad,Good
62,Bad,Good,Bad,Average
63,Bad,Good,Bad,Bad
64,Bad,Average,Good,Good
65,Bad,Average,Good,Average
66,Bad,Average,Good,Bad
67,Bad,Average,Average,Good
68,Bad,Average,Average,Average
69,Bad,Average,Average,Bad
70,Bad,Average,Bad,Good
71,Bad,Average,Bad,Average
72,Bad,Average,Bad,Bad
73,Bad,Bad,Good,Good
74,Bad,Bad,Good,Average
75,Bad,Bad,Good,Bad
76,Bad,Bad,Average,Good
77,Bad,Bad,Average,Average
78,Bad,Bad,Average,Bad
79,Bad,Bad,Bad,Good
80,Bad,Bad,Bad,Average
81,Bad,Bad,Bad,Bad
